City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
540,Lafiagi,NG,79.05,8.8667,5.4167,
544,Wajid,SO,72.28,3.8093,43.2471,
545,Maragogi,BR,78.44,-9.0122,-35.2225,
548,Ibimirim,BR,75.34,-8.5406,-37.6903,
551,Tonj,SS,72.03,7.2737,28.6822,
552,Hambantota,LK,80.94,6.1241,81.1185,
555,Sao Francisco Do Sul,BR,73.11,-26.2433,-48.6381,
562,Buala,SB,84.33,-8.145,159.5921,
565,Port Moresby,PG,84.54,-9.4431,147.1797,
568,Ternate,ID,81.9,0.8,127.4,
569,Martapura,ID,78.89,-3.4167,114.85,
570,Maumere,ID,85.03,-8.6199,122.2111,
579,Camana,PE,72.01,-16.6228,-72.7111,
587,Kalmunai,LK,78.55,7.4167,81.8167,
601,Mumford,GH,79.38,5.2618,-0.759,
602,Vaitape,PF,81.32,-16.5167,-151.75,
606,Sungaipenuh,ID,73.87,-2.0833,101.3833,
607,Redcliffe,AU,89.49,-27.2307,153.0973,
610,Saint-Pierre,RE,80.28,-21.3393,55.4781,
612,Micheweni,TZ,78.8,-4.9667,39.8333,
617,Les Cayes,HT,74.43,18.2,-73.75,
620,Yeppoon,AU,87.58,-23.1333,150.7333,
627,Pedasi,PA,73.06,7.5333,-80.0333,
633,Cam Ranh,VN,78.76,11.9214,109.1591,
636,Banda Aceh,ID,82.51,5.5577,95.3222,
637,Mae Hong Son,TH,87.84,19.3003,97.9685,
640,Tabou,CI,78.85,4.423,-7.3528,
642,Malinao,PH,83.26,7.5917,124.6889,
643,Saint-Joseph,RE,79.18,-21.3667,55.6167,
645,Tarakan,ID,82.29,3.3,117.6333,
650,Tucuma,BR,73.87,-0.1833,-50.05,
676,Chumphon,TH,80.8,10.3333,98.8333,
678,Cabrera,DO,76.19,19.6426,-69.9049,
679,Byron Bay,AU,86.11,-28.65,153.6167,
682,Paranaiba,BR,74.88,-19.6772,-51.1908,
683,Monywa,MM,77.52,22.1167,95.1333,
685,Coolum Beach,AU,83.34,-26.5333,153.1,
691,Alugan,PH,81.75,12.2188,125.4808,
692,Mahuva,IN,74.25,21.0914,71.7622,
