City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
151,Constitucion,-35.3333,-72.4167,clear sky,61.95,67,0,9.44,CL
152,Inhambane,-23.865,35.3833,broken clouds,78.84,75,72,6.42,MZ
153,Kozulka,50.0351,23.797,light rain,44.89,78,100,23.44,UA
154,Porbandar,21.6422,69.6093,clear sky,73.85,43,0,8.01,IN
155,Vila,42.0304,-8.1588,overcast clouds,45.32,95,99,3.47,PT
156,Carbonia,39.1672,8.5222,overcast clouds,56.98,83,100,18.21,IT
157,Kenai,60.5544,-151.2583,overcast clouds,37.02,95,94,2.82,US
158,Kavieng,-2.5744,150.7967,overcast clouds,82.56,71,100,1.21,PG
159,Kaeo,-35.1,173.7833,overcast clouds,70.97,61,100,5.08,NZ
160,Teya,60.3778,92.6267,overcast clouds,7.32,89,100,8.41,RU
161,Lima,-12.0432,-77.0282,overcast clouds,69.39,50,99,7.23,PE
162,Santa Lucia,27.9117,-15.5407,few clouds,54.77,77,20,14.97,ES
163,Cooma,-36.2333,149.1333,overcast clouds,80.38,34,100,13.85,AU
164,Batouri,4.4333,14.3667,scattered clouds,67.23,53,50,3.67,CM
165,Porto Santo,33.072,-16.3415,broken clouds,60.71,67,75,6.91,PT
166,Rocha,-34.4833,-54.3333,broken clouds,66.02,89,53,5.77,UY
167,Valley Station,38.1112,-85.8702,broken clouds,63.1,56,75,18.41,US
168,Kathmandu,27.7167,85.3167,haze,55.62,67,20,2.3,NP
169,Balkhash,46.844,74.9804,few clouds,-1.59,84,20,8.95,KZ
170,Fuyu,45.1833,124.8167,clear sky,11.03,75,8,5.35,CN
171,Bilibino,68.0546,166.4372,scattered clouds,-16.31,99,27,2.59,RU
172,Hun,29.1268,15.9477,scattered clouds,47.19,78,34,6.08,LY
173,Pangnirtung,66.1451,-65.7125,broken clouds,-29.78,90,75,5.55,CA
174,Mandalgovi,45.7625,106.2708,broken clouds,9.43,52,60,19.75,MN
175,Sapa,5.1544,120.3241,few clouds,83.32,72,11,14.74,PH
176,Bethel,41.3712,-73.414,clear sky,45.64,85,0,8.05,US
177,Khatanga,71.9667,102.5,few clouds,-17.9,88,14,8.52,RU
178,Jaisalmer,26.9147,70.9181,clear sky,73.76,14,0,4.7,IN
179,Ericeira,38.9627,-9.4156,few clouds,58.35,94,24,9.69,PT
180,Flin Flon,54.7682,-101.865,scattered clouds,-24.3,99,33,4.41,CA
